kroger_product,description,calories,protein,fat,carbohydrates
koyo - coconut milk - case of 6 - 96 fz,Coconut milk,31,0.21,2.08,2.92
westsoy original soy milk - case of 12 - 32 fl oz.,"PEPSI SODA, 12 FL OZ, 32 COUNT",42.0,0.0,0.0,11.6
so delicious unsweetened vanilla coconut milk beverage - case of 12 - 32 fl oz.,"SO DELICIOUS, CULTURED COCONUT MILK, VANILLA, VANILLA",88.0,0.59,3.53,12.9
nestle nes42258ct coffee mate almond milk vanilla liquid creamer - 50 count - pack of 4,"NESTLE COFFEE MATE Coffee Creamer Original, Liquid Creamer Singles, 0.375 fl oz, 50 Count",91.0,0.0,9.09,0.0
"fairlife ultra-filtered milk, lactose free, high protein, 2% reduced fat chocolate milk","Milk, lactose free, reduced fat (2%)",50,3.36,1.9,4.9
lactaid® lactose free 2% reduced fat milk,"Milk, lactose free, reduced fat (2%)",50,3.36,1.9,4.9
lactaid® lactose free 2% reduced fat milk half gallon,"Milk, lactose free, reduced fat (2%)",50,3.36,1.9,4.9
lactaid® lactose free 1% lowfat milk half gallon,"Milk, lactose free, low fat (1%)",43,3.38,0.95,5.18
lactaid® lactose free calcium fortified 2% reduced fat milk half gallon,"Milk, lactose free, reduced fat (2%)",50,3.36,1.9,4.9
lactaid® lactose free skim milk half gallon,"Milk, lactose free, fat free (skim)",34,3.43,0.08,4.92
hiland lactose free vitamin d milk,LACTOSE FREE VITAMIN A&D MILK,38.0,3.75,0.0,5.0
hiland 100% lactose free 2% reduced fat milk,"Milk, lactose free, reduced fat (2%)",50,3.36,1.9,4.9
kroger® cultured whole buttermilk half gallon,"KROGER, CULTURED BUTTERMILK",68.0,3.39,3.39,5.51
milkadamia original - case of 6 - 32 fl oz.,"LOUISIANA BRAND THE ORIGINAL HOT SAUCE, 32 FL OZ",0.0,0.0,0.0,0.0
yoo-hoo chocolate drink boxes,"YOO-HOO, CHOCOLATE DRINK",52.0,0.52,0.52,11.5
yoo-hoo® chocolate drink,"YOO-HOO, CHOCOLATE DRINK",52.0,0.52,0.52,11.5
blue diamond® almond breeze® dairy free reduced sugar vanilla almondmilk,"REDUCED SUGAR VANILLA ALMONDMILK, REDUCED SUGAR VANILLA",25.0,0.42,1.04,3.33
yoo-hoo strawberry drink boxes,"YOO-HOO, CHOCOLATE DRINK",52.0,0.52,0.52,11.5
shamrock farms® rockin' protein™ builder chocolate shakes,"CHOCOLATE BUILDER PROTEIN SHAKE, CHOCOLATE",54.0,8.47,1.13,3.39
kroger® cultured 1% lowfat buttermilk,"KROGER, CULTURED LOWFAT BUTTERMILK",46.0,3.75,1.04,5.0
kroger® cultured 1% lowfat buttermilk pint,"KROGER, CULTURED LOWFAT BUTTERMILK",46.0,3.75,1.04,5.0
planet oat® dairy free original oatmilk,"ORIGINAL OATMILK NON-DAIRY OAT BEVERAGE, ORIGINAL",50.0,1.25,2.08,6.67
oatly original oatmilk,ORIGINAL OATMILK,42.0,0.83,1.46,7.08
kroger® cultured 1% lowfat buttermilk half gallon,"KROGER, CULTURED LOWFAT BUTTERMILK",46.0,3.75,1.04,5.0
planet oat® extra creamy original oatmilk,"EXTRA CREAMY ORIGINAL OATMILK, EXTRA CREAMY",50.0,0.83,1.46,9.17
planet oat® original oatmilk,"ORIGINAL OAT OATMILK, ORIGINAL",38.0,1.25,0.62,7.08
starbucks® strawberry acai pink carton,PINK CARTON LEMONADE,29.0,0.0,0.0,7.5
oatly unsweetened oatmilk,"UNSWEETENED OATMILK, UNSWEETENED",50.0,1.25,2.08,6.67
oatly super basic oatmilk,"Olives, ripe, canned (jumbo-super colossal)",339,0.97,6.87,5.61
rice dream™ original rice drink,"RICE DREAM, CLASSIC RICE DRINK, VANILLA, VANILLA",54.0,0.42,1.04,10.8
west life organic unsweetened plain soymilk,ORGANIC UNSWEETENED PLAIN SOYMILK,42.0,3.75,2.08,1.67
califia farms® organic almondmilk,"CALIFIA FARMS, COLD BREW COFFEE WITH ALMONDMILK, COCOA NOIR",39.0,0.97,1.29,7.1
kroger® cultured 1% lowfat buttermilk gallon,"KROGER, CULTURED LOWFAT BUTTERMILK",46.0,3.75,1.04,5.0
hiland dairy cultured 1% low fat buttermilk,1% LOW-FAT CULTURED BUTTERMILK,46.0,3.75,0.83,5.83
vita coco® organic coconut non-dairy beverage origional 33.8 oz,"VITA COCO, PURE COCONUT WATER",31.0,0.0,0.0,7.5
betterbody foods oatsome® organic barista oat drink,"BARISTA ORGANIC OAT DRINK, BARISTA",76.0,0.8,4.1,9.0
hiland dairy bulgarian buttermilk,"BULGARIAN CULTURED BUTTERMILK, BULGARIAN",67.0,3.75,3.33,5.42
hiland cultured lowfat buttermilk,"Milk, buttermilk, fluid, cultured, lowfat",169,3.31,1.07,4.79
8.5oz. coco lopez cream of coconut,"COCO LOPEZ, PINA COLADA MIX WITH REAL CREAM OF COCONUT",146,0.0,3.93,28.1
barney butter blanched almond flour - 13 oz (368 g),"BARNEY BUTTER, ALMOND BUTTER",529,17.6,44.1,23.5
westsoy organic plain unsweetened - case of 12 - 32 fl oz.,"PEPSI SODA, 12 FL OZ, 32 COUNT",42.0,0.0,0.0,11.6
pacific natural foods coconut original - unsweetened - case of 12 - 32 fl oz.,"Pacific Foods Original Unsweetened Cashew Milk, Plant Based Milk, 32 fl oz Carton",21.0,0.42,1.67,0.83
westsoy soymilk unsweetened vanilla organic,"SILK Unsweetened, soymilk",33.0,2.88,1.65,1.65
kraft smooth & creamy mozzarella natural cheese 12 oz,KRAFT VELVEETA Pasteurized Process Cheese Spread,1270.0,16.3,22.0,9.8
kroger® mexican style blend shredded cheese,"KROGER, MEXICAN STYLE BLEND FINELY SHREDDED CHEESE",357,21.4,28.6,3.57
sargento® off the block 4 state cheddar® shredded cheese,"SARGENTO, 4 SHREDDED ITALIAN CHEESE",286,28.6,16.1,3.57
kroger® whole milk mozzarella shredded cheese,"Cheese, mozzarella, whole milk",1250.0,22.2,22.1,2.4
tillamook® aged medium cheddar block cheese,"TILLAMOOK, MEDIUM CHEDDAR NATURAL CHEESE",393,25.0,32.1,0.0
kroger® singles american sliced cheese,"KROGER, AMERICAN CHEESE SINGLES",316,15.8,23.7,5.26
simple truth organic® colby jack sliced cheese,"Cheese, Colby Jack",393,23.19,32.37,2.24
kroger® singles pepper jack sliced cheese,"KROGER, PEPPER JACK CHEESE SINGLES",286,19.0,19.0,9.52
sargento® off the block fine cut 4 cheese mexican blend natural cheese shreds,FINELY SHREDDED MEXICAN 4 CHEESE BLEND,393,25.0,32.1,3.57
kroger® singles 4 cheese blend sliced cheese,"KROGER, 3 CHEESE BLEND SINGLES",333,19.0,23.8,9.52
simple truth organic® sharp white cheddar sliced cheese,"Cheese, cheddar, sharp, sliced",1720.0,24.2,33.8,2.13
sargento® colby-jack sliced cheese,"Cheese, Colby Jack",393,23.19,32.37,2.24
sargento® swiss sliced cheese,"Cheese, swiss",393,27.0,31.0,1.44
sargento® pepper jack sliced cheese,"PEPPER JACK CHEESE SLICES, PEPPER JACK",391,26.1,30.4,4.35
kroger® sharp cheddar block cheese,"Cheese, cheddar, sharp, sliced",1720.0,24.2,33.8,2.13
kroger® mozzarella shredded cheese family size,SILK Vanilla soy yogurt (family size),79.0,2.64,1.76,13.7
sargento® provolone sliced cheese,"Cheese, provolone, sliced",N/A,23.5,28.1,2.45
kroger® colby jack block cheese,"Cheese, Colby Jack",393,23.19,32.37,2.24
mini babybel® original snack cheese,"BABYBEL, SEMISOFT CHEESE, ORIGINAL, ORIGINAL",333,23.8,28.6,0.0
kroger® mozzarella shredded cheese,"KROGER, MOZZARELLA FINELY SHREDDED CHEESE",286,28.6,17.9,3.57
kroger® sharp cheddar shredded cheese,"KROGER, SHARP CHEDDAR SHREDDED CHEESE",393,25.0,32.1,3.57
kroger® mild cheddar shredded cheese family size,"OUR FAMILY, NATURAL SHREDDED MILD CHEDDAR CHEESE",286,25.0,21.4,3.57
kroger® parmesan shredded cheese,"Cheese, parmesan, shredded",1740.0,37.9,27.3,3.41
kroger® sharp cheddar shredded cheese family size,"KROGER, SHARP CHEDDAR SHREDDED CHEESE",393,25.0,32.1,3.57
kroger® medium cheddar block cheese,"KROGER, MEDIUM CHEDDAR CHEESE",393,25.0,32.1,3.57
kroger® monterey jack block cheese,"Cheese, monterey jack, solid",N/A,22.6,32.6,1.9
kraft singles american sliced cheese,KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product,619,22.7,1.0,11.7
kroger® extra sharp cheddar block cheese,"KROGER, EXTRA SHARP CHEDDAR CHEESE",393,25.0,32.1,3.57
kroger® mozzarella string cheese,"KROGER, STRING MOZZARELLA CHEESE",286,25.0,21.4,3.57
kroger® pepper jack block cheese,"PEPPER JACK CULTURED VEGAN CHEESE BLOCK, PEPPER JACK",286,10.7,17.9,17.9
kroger® cheddar jack shredded cheese,"KROGER, CHEDDAR JACK FINELY SHREDDED CHEESE",357,25.0,28.6,3.57
kroger® colby jack block cheese big deal!,Error,N/A,N/A,N/A,N/A
kroger® medium cheddar sliced cheese,"KROGER, MEDIUM CHEDDAR CHEESE",393,25.0,32.1,3.57
kroger® smoke flavored provolone sliced cheese,"Cheese, provolone, sliced",N/A,23.5,28.1,2.45
simple truth organic® low-moisture part-skim shredded mozzarella cheese,"Cheese, mozzarella, low moisture, part-skim, shredded",304,23.6,19.7,8.06
simple truth organic® mexican style blend shredded cheese,"Cheese, Mexican blend",362,21.92,29.34,2.4
kroger® swiss sliced cheese,"Cheese, swiss",393,27.0,31.0,1.44
kroger® colby jack sliced cheese,"Cheese, Colby Jack",393,23.19,32.37,2.24
kroger® colby jack shredded cheese,"Cheese, Colby Jack",393,23.19,32.37,2.24
kroger® reduced fat mexican style shredded cheese,"Cheese, Mexican blend, reduced fat",282,24.69,19.4,3.41
kroger® pepper jack sliced cheese,"KROGER, PEPPER JACK CHEESE",393,21.4,32.1,0.0
sargento® sharp cheddar sliced cheese,"Cheese, cheddar, sharp, sliced",1720.0,24.2,33.8,2.13
kroger® mild cheddar shredded cheese,"KROGER, MILD CHEDDAR CHEESE",393,25.0,32.1,3.57
kroger® cheddar jack shredded cheese big deal!,Error,N/A,N/A,N/A,N/A
kroger® sharp cheddar block cheese big deal!,Error,N/A,N/A,N/A,N/A
simple truth organic® sharp white cheddar shredded cheese,"SIMPLE TRUTH, WHITE CHEDDAR FINELY SHREDDED CHEESE",393,25.0,32.1,3.57
private selection® pizzeria style blend thick cut mozzarella shredded cheese,"PIZZERIA BLEND SHREDS, MOZZARELLA & PARMESAN",286,0.0,25.0,25.0
simple truth organic® pepper jack sliced cheese,"SIMPLE TRUTH, MONTEREY JACK CHEESE SLICED WITH JALAPENO PEPPERS, PEPPER JACK, PEPPER JACK",353,23.5,29.4,5.88
simple truth organic® sharp white cheddar block cheese,"SIMPLE TRUTH, WHITE CHEDDAR FINELY SHREDDED CHEESE",393,25.0,32.1,3.57
simple truth organic® colby jack block cheese,"Cheese, Colby Jack",393,23.19,32.37,2.24
simple truth organic® colby jack cheese sticks,"Cheese, Colby Jack",393,23.19,32.37,2.24
simple truth organic® grated parmesan cheese,"Cheese, parmesan, grated",420,28.4,27.8,13.9
andrew and everett - parmesan cheese - grated - case of 6,"ANDREW & EVERETT, STRING CHEESE",286,28.6,21.4,3.57
nutricost pantry white cheddar cheese powder 40.5 oz (1 - 134 g),"Cheese sandwich, cheddar cheese, on white bread",325,15.14,16.11,29.95
kraft grated parmesan cheese 24oz,"Cheese, parmesan, grated",420,28.4,27.8,13.9
kroger® medium cheddar shredded cheese,"KROGER, MEDIUM CHEDDAR CHEESE",393,25.0,32.1,3.57
kroger® italian style blend shredded cheese,"KROGER, MEXICAN STYLE BLEND FINELY SHREDDED CHEESE",357,21.4,28.6,3.57
kraft mexican style four cheese blend shredded cheese,"SHREDDED MEXICAN-STYLE FOUR CHEESE, FOUR CHEESE",393,21.4,28.6,3.57
kroger® monterey jack shredded cheese,"Cheese, monterey jack, solid",N/A,22.6,32.6,1.9
kroger® pizza blend shredded cheese,"KROGER, PIZZA FINELY SHREDDED CHEESE BLEND",286,28.6,21.4,3.57
kroger® nacho & taco blend shredded cheese,"KROGER, NACHO & TACO BLEND, FINELY SHREDDED CHEESE",357,21.4,28.6,3.57
kraft triple cheddar finely shredded cheese,"SHREDDED TRIPLE CHEDDAR CHEESE, TRIPLE CHEDDAR",393,25.0,32.1,0.0
kraft sharp cheddar finely shredded cheese,"FINELY SHREDDED SHARP CHEDDAR CHEESE, SHARP CHEDDAR",393,21.4,32.1,7.14
kraft mozzarella shredded cheese,"Cheese, mozzarella, low moisture, part-skim, shredded",304,23.6,19.7,8.06
kroger® reduced fat sharp cheddar shredded cheese,"Cheese, Cheddar, reduced fat",316,27.35,20.41,2.67
sargento® whole milk mozzarella shredded cheese,"Cheese, mozzarella, whole milk",1250.0,22.2,22.1,2.4
"kraft mild cheddar finely shredded cheese, 8 oz bag","FINELY SHREDDED MILD CHEDDAR CHEESE, MILD CHEDDAR",393,21.4,32.1,7.14
kraft colby-jack shredded cheese fine cut,"COLBY-JACK FINE CUT SHREDDED NATURAL CHEESE, COLBY-JACK",393,25.0,28.6,7.14
kroger® queso quesadilla shredded cheese,"KROGER, QUESO QUESADILLA FINELY SHREDDED CHEESE",357,25.0,28.6,3.57
tillamook® mozzarella shredded cheese farmstyle,FARMSTYLE CUT MOZZARELLA SHREDDED CHEESE,321,25.0,17.9,10.7
tillamook® triple cheddar shredded cheese farmstyle,TRIPLE CHEDDAR FARMSTYLE CUT,429,21.4,35.7,7.14
kraft mexican style cheddar jack finely shredded cheese,"FINELY SHREDDED MEXICAN-STYLE CHEDDAR JACK CHEESE, MEXICAN-STYLE",393,21.4,32.1,3.57
tillamook® mexican 4 cheese shredded cheese farmstyle,"MEXICAN 4 CHEESE FARMSTYLE THICK CUT SHREDDED CHEDDAR, MONTEREY JACK, QUESO QUESADILLA AND ASADERO CHEESES, MEXICAN 4 CHEESE",393,21.4,32.1,7.14
kraft sharp cheddar shredded cheese,"KRAFT, SHARP CHEDDAR CHEESE",411,21.4,35.7,1.79
tillamook® sharp cheddar shredded cheese farmstyle,"FARMSTYLE THICK CUT SHREDDED SHARP CHEDDAR CHEESE, SHARP CHEDDAR",429,21.4,35.7,3.57
sargento® off the block traditional cut extra sharp cheddar natural cheese shreds,"OFF THE BLOCK MILD CHEDDAR SHREDDED NATURAL CHEDDAR CHEESE, MILD CHEDDAR",393,25.0,32.1,7.14
kraft parmesan shredded cheese fine cut,"PARMESAN FINE-CUT SHREDDED CHEESE, PARMESAN",393,35.7,25.0,7.14
private selection® aged cheddar blend thick cut shredded cheese,"AGED CHEDDAR BLEND THIN CUT SHREDDED CHEESE, AGED CHEDDAR BLEND",393,25.0,28.6,7.14
kraft mozzarella shredded cheese with whole milk,"Cheese, mozzarella, whole milk",1250.0,22.2,22.1,2.4
private selection® chef's blend sharp cheddar gouda asiago thick cut shredded cheese,"SHARP CHEDDAR THICK CUT SHREDDED CHEESE, SHARP CHEDDAR",393,21.4,32.1,7.14
"kraft mexican style four cheese blend shredded cheese, 16 oz bag","SHREDDED MEXICAN-STYLE FOUR CHEESE, FOUR CHEESE",393,21.4,28.6,3.57
private selection® alpine blend swiss & gruyere thick cut shredded cheese,"ALPINE BLEND THICK CUT SHREDDED CHEESE, ALPINE BLEND",393,25.0,32.1,3.57
kraft refrigerated shredded parmesan cheese,"Cheese, parmesan, grated, refrigerated",N/A,30.1,29.5,4.33
kraft signature restaurant style melt mexican blend cheese 8 oz,"Restaurant, Mexican, cheese enchilada",273,11.2,18.5,15.4
kraft signature restaurant style melt mozzarella blend shredded cheese 8 oz,"Restaurant, family style, fried mozzarella sticks",325,14.8,18.3,25.1
sargento® reduced fat 4 cheese mexican shredded cheese traditional cut,"SARGENTO, REDUCED FAT 4 CHEESE MEXICAN",286,28.6,21.4,3.57
kroger® mexican shredded cheese big deal!,Error,N/A,N/A,N/A,N/A
private selection® mexican style blend shredded cheese,"Cheese, Mexican blend",362,21.92,29.34,2.4
kraft signature restaurant style melt cheddar blend cheese 8 oz,"Garlic bread, with melted cheese, from fast food / restaurant",339,11.41,17.34,34.21
private selection® mild cheddar blend thick cut shredded cheese,"MILD CHEDDAR BLEND THICK CUT SHREDDED CHEESE, MILD CHEDDAR BLEND",429,21.4,32.1,7.14
kraft colby jack finely shredded cheese,"COLBY JACK SHREDDED COLBY & MONTEREY JACK CHEESE FINELY SHREDDED, COLBY JACK",393,21.4,28.6,3.57
private selection® jalapeno pepper jack thick cut shredded cheese,"PRIVATE SELECTION, PEPPER JACK SLICED CHEESE",409,22.7,31.8,0.0
kroger® mozzarella shredded cheese big deal!,Error,N/A,N/A,N/A,N/A
cacique® queso quesadilla shredded cheese,"QUESO QUESADILLA SHREDDED CHEESE, QUESO QUESADILLA",357,21.4,28.6,3.57
velveeta shreds original flavor shredded cheese,"VELVEETA, SHREDS, SHREDDED PASTEURIZED PREPARED CHEESE PRODUCT, ORIGINAL, ORIGINAL",214,17.9,10.7,10.7
simple truth™ plant-based dairy free mozzarella shredded cheese,DAIRY FREE PLANT-BASED MOZZARELLA STYLE SHREDS CHEESE,321,0.0,25.0,21.4
kroger® swiss shredded cheese,"Cheese, swiss",393,27.0,31.0,1.44
private selection® grated romano cheese,"Cheese, romano",1620.0,31.8,26.9,3.63
kroger® mercado queso quesadilla shredded cheese,"KROGER, QUESO QUESADILLA FINELY SHREDDED CHEESE",357,25.0,28.6,3.57
kroger® extra sharp cheddar sliced cheese,"Cheese, cheddar, sharp, sliced",1720.0,24.2,33.8,2.13
kroger® havarti sliced cheese,"HAVARTI CHEESE SLICES, HAVARTI",391,21.7,30.4,4.35
kroger® orange rind muenster sliced cheese,"KROGER, ORANGE RIND MUENSTER NATURAL CHEESE SLICES",333,23.8,28.6,0.0
kroger® gouda sliced cheese,"Cheese, gouda",356,24.9,27.4,2.22
kroger® mild cheddar sliced cheese,"KROGER, MILD CHEDDAR SLICES",381,23.8,33.3,0.0
velveeta original flavored sliced cheese,KRAFT VELVEETA Pasteurized Process Cheese Spread,1270.0,16.3,22.0,9.8
sargento® baby swiss sliced cheese,"BABY SWISS CHEESE SLICES, BABY SWISS",391,26.1,30.4,0.0
kraft deli deluxe american sliced cheese,"AMERICAN DELI DELUXE CHEESE SLICES, AMERICAN",381,19.0,33.3,4.76
kroger® singles swiss sliced cheese,SINGLES SWISS CHEESE SLICES,286,19.0,19.0,9.52
kraft singles 2% milk american sliced cheese,"KRAFT, 2% MILK SINGLES SWISS CHEESE SLICES",237,21.0,13.2,10.5
sargento® creamery cheddar sliced cheese,"Cheese, cheddar, sharp, sliced",1720.0,24.2,33.8,2.13
kroger® mozzarella sliced cheese,"KROGER, MOZZARELLA SLICES",286,28.6,19.0,0.0
sargento® mozzarella sliced cheese,"SARGENTO, MOZZARELLA & PROVOLONE CHEESE",321,21.4,25.0,3.57
kroger® deluxe american sliced cheese,"KROGER, DELUXE AMERICAN PASTEURIZED PROCESS CHEESE SLICES",368,21.0,31.6,5.26
sargento® reserve series™ aged white cheddar sliced cheese,"AGED RESERVE CHEDDAR CHEESE, CHEDDAR",393,21.4,35.7,0.0
sargento® creamery baby swiss sliced cheese,"BABY SWISS CREAMERY SLICED NATURAL CHEESE, BABY SWISS",412,23.5,35.3,0.0
sargento® ultra thin® mild cheddar sliced cheese,ULTRA THIN SLICED MILD CHEDDAR CHEESE,406,25.0,34.4,3.12
sargento® ultra thin® sliced swiss cheese,ULTRA THIN SWISS CHEESE SLICES,375,28.1,28.1,6.25
sargento® smokehouse cheddar™ sliced cheese,"Cheese, cheddar, sharp, sliced",1720.0,24.2,33.8,2.13
private selection® colby jack sliced cheese,"PRIVATE SELECTION, PEPPER JACK SLICED CHEESE",409,22.7,31.8,0.0
kroger® singles fat free american sliced cheese,"Cheese, American, nonfat or fat free",126,21.05,0,10.53
heritage farms american sliced cheese,"Cheese, American",340,16.79,27.16,7.16
kroger® colby sliced cheese,"KROGER, COLBY CHEESE SLICES",381,23.8,33.3,0.0
private selection™ baby swiss sliced cheese,"PRIVATE SELECTION, SWISS SLICED CHEESE",364,27.3,27.3,0.0
private selection™ swiss sliced cheese,"PRIVATE SELECTION, SWISS SLICED CHEESE",364,27.3,27.3,0.0
private selection® jalapeno pepper jack sliced cheese,"PRIVATE SELECTION, PEPPER JACK SLICED CHEESE",409,22.7,31.8,0.0
private selection® variety pack gourmet cheese cracker cuts,SELECT CRACKER CUTS SWISS CHEESE,400,28.0,28.0,4.0
kraft singles white american cheese slices,"KRAFT, SINGLES CHEESE, WHITE AMERICAN, WHITE AMERICAN",237,21.0,13.2,10.5
simple truth organic® provolone sliced cheese,"Cheese, provolone, sliced",N/A,23.5,28.1,2.45
kraft deli deluxe 2% milk american sliced cheese,"AMERICAN DELI DELUXE CHEESE SLICES, AMERICAN",381,19.0,33.3,4.76
private selection® gruyere cheddar cheese slices,"Cheese, Gruyere",413,29.81,32.34,0.36
private selection® baby swiss cheese slices,"PRIVATE SELECTION, SWISS SLICED CHEESE",364,27.3,27.3,0.0
sargento® smoked provolone sliced cheese,"Cheese, provolone, sliced",N/A,23.5,28.1,2.45
sargento® pepper jack cheese slices,"PEPPER JACK CHEESE SLICES, PEPPER JACK",391,26.1,30.4,4.35
kroger® fresh mozzarella sliced cheese,"SLICED FRESH MOZZARELLA CHEESE, SLICED FRESH MOZZARELLA",250,17.9,17.9,3.57
private selection® vermont sharp white cheddar sliced cheese,"PRIVATE SELECTION, VERMONT EXTRA SHARP WHITE CHEDDAR CHEESE SNACK",393,25.0,32.1,3.57
private selection® yellow american sliced cheese,"PRIVATE SELECTION, SWISS SLICED CHEESE",364,27.3,27.3,0.0
kraft singles jalapeno cheese slices,KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product,619,22.7,1.0,11.7
private selection® wisconsin sharp cheddar sliced cheese,"Cheese, cheddar, sharp, sliced",1720.0,24.2,33.8,2.13
velveeta original cheese,KRAFT VELVEETA Pasteurized Process Cheese Spread,1270.0,16.3,22.0,9.8
kroger® mozzarella block cheese,"Cream cheese, full fat, block",N/A,5.79,33.5,4.56
cacique® ranchero® part skim milk queso fresco cheese,"QUESO FRESCO PART SKIM MILK CHEESE, QUESO FRESCO",286,21.4,21.4,0.0
kroger® mild cheddar cheese block,"Cream cheese, full fat, block",N/A,5.79,33.5,4.56
kroger® colby cheese block,"Cream cheese, full fat, block",N/A,5.79,33.5,4.56
tillamook® aged sharp cheddar block cheese,"TILLAMOOK, SHARP CHEDDAR CHEESE",393,25.0,32.1,0.0
kroger® mozzarella block cheese big deal!,Error,N/A,N/A,N/A,N/A
tillamook® extra sharp white cheddar block cheese,"TILLAMOOK, EXTRA SHARP WHITE CHEDDAR CHEESE",393,25.0,32.1,0.0
kroger® mild cheddar block cheese,"Cream cheese, full fat, block",N/A,5.79,33.5,4.56
kroger® mild cheddar block cheese big deal!,Error,N/A,N/A,N/A,N/A
kroger® original nice'n cheesy® pasteurized prepared cheese product,"ORIGINAL SMOOTH & CHEESY PASTEURIZED PREPARED CHEESE PRODUCT, ORIGINAL SMOOTH & CHEESY",286,17.9,21.4,10.7
private selection® cheddar gruyere block cheese,"Cheese, Gruyere",413,29.81,32.34,0.36
private selection® parmesan cheese wedge,"PARMESAN CHEESE WEDGE, PARMESAN",393,35.7,25.0,0.0
velveeta reduced fat 2% milk cheese,"Milk, reduced fat (2%)",50,3.36,1.9,4.9
kroger® swiss block cheese,"Cream cheese, full fat, block",N/A,5.79,33.5,4.56
velveeta queso blanco cheese,"Cheese, white, queso blanco",1300.0,20.4,24.3,2.53
kroger® orange rind muenster block cheese,"KROGER, ORANGE RIND MUENSTER",357,21.4,28.6,3.57
kroger® colby block cheese,"Cream cheese, full fat, block",N/A,5.79,33.5,4.56
private selection® vermont extra sharp white cheddar block cheese,"PRIVATE SELECTION, VERMONT EXTRA SHARP WHITE CHEDDAR CHEESE SNACK",393,25.0,32.1,3.57
velveeta fresh packs original cheese,KRAFT VELVEETA Pasteurized Process Cheese Spread,1270.0,16.3,22.0,9.8
kraft colby-jack marbled block cheese,"Cheese, Colby Jack",393,23.19,32.37,2.24
kraft extra sharp cheddar block cheese,"KRAFT, SHARP CHEDDAR CHEESE",411,21.4,35.7,1.79
kraft sharp cheddar block cheese,"KRAFT, SHARP CHEDDAR CHEESE",411,21.4,35.7,1.79
kraft mild cheddar block cheese,"Cream cheese, full fat, block",N/A,5.79,33.5,4.56
velveeta jalapeno mexican cheese,KRAFT VELVEETA Pasteurized Process Cheese Spread,1270.0,16.3,22.0,9.8
private selection® asiago wedge cheese,"ASIAGO CHEESE WEDGE, ASIAGO",393,25.0,32.1,3.57
kraft pepper jack medium block cheese,"KRAFT, NATURAL PEPPER JACK CHEESE",393,25.0,32.1,0.0
kroger® mercado queso panela cheese,MERCADO QUESO PANELA WHOLE MILK CHEESE,36.0,21.4,25.0,3.57
kroger® mercado quesadilla cheese,"ON THE BORDER, cheese quesadilla",1650.0,16.9,25.5,24.2
queso-melt jalapeno queso cheese 8 oz 10 pack,Cheese and Queso as ingredient,362,21.92,29.34,2.4
"farmers market wisconsin cheese pounder set, 3 pack","McDONALD'S, QUARTER POUNDER with Cheese",1080.0,14.6,14.2,20.0
parmigiano reggiano cheese dop 2 lb,"PARMIGIANO REGGIANO CHEESE, PARMIGIANO REGGIANO",429,35.7,32.1,0.0
kroger® colby-jack cheese sticks,"Cheese, Colby Jack",393,23.19,32.37,2.24
sargento® mozzarella string cheese®,"SARGENTO, LIGHT STRING CHEESE",238,28.6,11.9,4.76
kroger® reduced fat mozzarella string cheese,"MOZZARELLA REDUCED FAT STRING CHEESE, MOZZARELLA",214,25.0,8.93,3.57
frigo® cheese heads® original mozzarella string cheese,"FRIGO, CHEESE HEADS, LIGHT STRING MOZZARELLA CHEESE",208,29.2,10.4,4.17
sargento® colby-jack cheese sticks,"Cheese, Colby Jack",393,23.19,32.37,2.24
sargento® light mozzarella string cheese,"SARGENTO, LIGHT STRING CHEESE",238,28.6,11.9,4.76
kroger® marble & sharp cheddar cheese sticks,"MARBLED SHARP CHEDDAR CHEESE, MARBLED SHARP",393,21.4,35.7,0.0
kraft string cheese mozzarella cheese snacks with 2% milk,TWISTS STRING CHEESE MOZZARELLA & CHEDDAR WITH 2% MILK CHEESE SNACKS,238,28.6,11.9,4.76
frigo® cheese heads® original mozzarella string cheese snacks,"FRIGO, CHEESE HEADS, LIGHT STRING MOZZARELLA CHEESE",208,29.2,10.4,4.17
sargento® pepper jack snack cheese sticks,"SARGENTO, COLBY-JACK CHEESE SNACK",372,20.9,30.2,2.33
frigo® cheese heads® light mozzarella string cheese,"FRIGO, CHEESE HEADS, LIGHT STRING MOZZARELLA CHEESE",208,29.2,10.4,4.17
kraft string cheese mozzarella cheese snacks,STRING CHEESE MOZZARELLA CHEESE SNACKS,286,25.0,17.9,3.57
mini babybel® variety net snack cheese,"SNACK TRAY, WITH EGG & BABYBEL CHEESE",91.0,4.56,4.56,8.71
nickelodeon paw patrol mozzarella string cheese,"FRANKFORD, NICKELODEON, PAW PATROL GUMMI CANDY",355,3.23,0.0,83.9
kroger® colby jack cubed cheese,"CUBED COLBY JACK CHEESE, CUBED COLBY JACK",393,25.0,32.1,0.0
sargento® balanced breaks® monterey jack & cheddar cheese + wheat thins® crackers snack kit,"CHEESE & CRACKERS MONTEREY JACK & MILK CHEDDAR CHEESES AND WHEAT THINS MINI ORIGINAL SNACKS, CHEESE & CRACKERS",395,18.6,27.9,20.9
the laughing cow® original spreadable wedge cheese,"THE LAUGHING COW, BLUE CHEESE WEDGES",167,14.3,7.14,4.76
