kroger_product,description,calories,protein,fat,carbohydrates
chobani® flip® chocolate chip cookie dough™ low fat greek yogurt cup,"yogurt, greek, 2% fat, apricot, chobani",93,7.22,1.71,12.2
chobani® flip® key lime crumble™ low fat greek yogurt cup,"yogurt, greek, 2% fat, key lime blend, chobani",385,7.75,1.47,11.9
chobani® vanilla with mixed berry low fat greek yogurt cups,"yogurt, greek, 2% fat,mixed berry blend, chobani",390,8.26,1.83,10.9
yoplait light very vanilla fat free yogurt cup,yoplait light very vanilla gluten-free fat-free yogurt cup,45.1,2.94,0.165,8.61
simple truth® strawberry zero sugar yogurt cup,"simple truth, walnuts",667,16.7,32.1,13.3
yoplait original low fat key lime pie yogurt cup,yoplait original key lime pie gluten-free low-fat yogurt cup,82.8,2.94,0.92,16
kroger® vanilla lowfat yogurt tub,"yogurt, greek, vanilla, lowfat",398,8.64,2.5,9.54
chobani 20g protein raspberry lemon low fat greek yogurt cup,"yogurt, greek, nonfat, raspberry, chobani",81,7.65,0.22,12
simple truth® blueberry zero sugar yogurt cup,"simple truth organic, kefir, blueberry, blueberry",58,4.58,0.83,8.33
fage® total plain 5% milkfat greek yogurt tub,"yogurt, greek, plain, lowfat",73,9.95,1.92,3.94
fage® total raspberry 2% milkfat greek yogurt cup,"raspberry pomegranate total 2% lowfat greek strained yogurt, raspberry pomegranate",93,8,1.67,12
"stonyfield organic lowfat yogurt smoothies, strawberry banana","stonyfield, smoothie, strawberry banana",79,3.39,1.13,13.6
stonyfield organic pear spinach mango kids whole milk yogurt pouches,"pear spinach mango organic whole milk yogurt, pear spinach mango",101,5.05,3.03,12.1
stonyfield® organic kids strawberry banana whole milk yogurt cups,"strawberry banana kids whole milk yogurt, strawberry banana",88,3.54,3.54,10.6
stonyfield organic® kids strawberry vanilla & blueberry lowfat yogurt cups,kids blueberry & strawberry vanilla lowfat yogurt,62,3.54,0.88,10.6
gogo squeez yogurtz strawberry and banana portable fruit and yogurt snack pouches,yogurtz strawberry and banana yogurt on the go,106,4.71,1.76,17.6
siggi's probiotic drinkable lowfat yogurt,"probiotic drinkable lowfat yogurt, blueberry",85,3.39,1.41,15.2
silk greek style strawberry coconut milk yogurt alternative cup,silk strawberry soy yogurt,94,2.35,1.18,18.2
silk peach mango soy milk yogurt alternative cup,silk peach soy yogurt,94,2.35,1.18,18.8
silk dark chocolate coconut almond milk yogurt alternative cup,"yogurt, coconut milk",108,2.37,5.61,12.91
lifeway® strawberry probiotic low fat kefir drink,"kefir, lowfat, strawberry, lifeway",62,3.39,0.9,10.2
lifeway® plain probiotic low fat kefir drink,"kefir, lowfat, plain, lifeway",182,3.79,1.02,4.77
go-gurt protein berry kids low fat yogurt tubes,go-gurt berry low fat yogurt tubes 8 count,86.4,3.42,0.144,17.9
"organic sesame street fruit yogurt smoothie, strawberry banana, 4.2 oz pouch (pack of 12)","fruit juice smoothie, odwalla, strawberry banana",48,0.5,0.32,11
yoplait go-gurt low fat yogurt,"yoplait, go-gurt, low fat yogurt",94,3.12,0.78,18.8
sunridge farms yogurt raisins - case of 8 - 3.25 oz,"sunridge farms, yogurt pretzels",500,5,22.5,52.74000000000001
chobani lowfat strawberry banana greek yogurt drinks,"yogurt, greek, 2% fat, strawberry banana, chobani",369,8,1.71,10.2
yoplait original low fat mountain blueberry yogurt cup,yoplait original mountain blueberry low fat yogurt,88,3.53,1.18,14.7
noosa® lemon yogurt cup,"yogurt, greek, nonfat, lemon blend, chobani",328,8.62,0.15,10.7
yoplait original strawberry banana flavored smooth style low fat yogurt tub,yoplait original strawberry banana smooth style low fat yogurt,90,2.97,0.634,18.1
oui by yoplait strawberry whole milk french style yogurt jar,oui by yoplait strawberry gluten-free french-style whole milk yogurt jar,121,3.31,4.94,15.9
activia low fat probiotic black cherry yogurt cups,"yogurt, plain, low fat",265,5.25,1.55,7.04
noosa® raspberry yogurt cup,silk raspberry soy yogurt,88,2.35,1.18,17.6
noosa® blackberry yogurt cup,"yogurt, greek, nonfat, fruit on bottom, blackberry, chobani",95,7.54,0.37,15.4
activa® probiotic peach & strawberry variety pack yogurt cups,"yogurt, fruit variety, nonfat",95,4.4,0.2,19
oui by yoplait vanilla whole milk french style yogurt jar,oui by yoplait vanilla gluten-free french-style whole milk yogurt jar,119,3.89,4.84,15
noosa® strawberry rhubarb yogurt cup,rhubarb,73,0.81,0.22,17.45
oui by yoplait black cherry whole milk french style yogurt jar,oui by yoplait black cherry gluten-free french-style whole milk yogurt jar,121,3.37,4.95,15.7
kroger® carbmaster® banana cream pie yogurt,"pie, banana cream",284,2.42,16.17,32.35
yoplait original low fat yogurt cups variety pack,yoplait original strawberry and harvest peach gluten-free low-fat yogurt cup variety pack 8 count,83.1,2.95,0.92,15.3
kroger® carbmaster® key lime yogurt,"kroger, carbmaster, cultured dairy blend, key lime, key lime",35,5.29,0.88,2.35
noosa® peach yogurt cup,"babyfood, dessert, peach yogurt",324,0.9,0.18,17.6
oui by yoplait peach whole milk french style yogurt jar,oui by yoplait peach gluten-free french-style whole milk yogurt jar,121,3.36,4.97,15.6
oui by yoplait raspberry whole milk french style yogurt jar,oui by yoplait raspberry gluten-free french-style whole milk yogurt jar,123,3.63,5.43,15
yoplait light cherry fat free yogurt cup,yoplait light cherry gluten-free fat-free yogurt cup,45.3,2.94,0.167,8.81
activia probiotic black cherry & mixed berry variety pack yogurt cups,silk black cherry soy yogurt,88,2.35,1.18,17.1
yoplait light harvest peach fat free yogurt cup,yoplait light harvest peach fat free yogurt,45.4,2.94,0.164,8.86
oui by yoplait coconut whole milk french style yogurt jar,oui by yoplait coconut gluten-free french-style whole milk yogurt jar,123,3.6,5.52,14.8
oui by yoplait mocha and chocolate whole milk french style yogurt jar,oui by yoplait blueberry gluten-free french-style whole milk yogurt jar,121,3.57,5.39,14.7
yoplait trix low fat kids yogurt cup variety pack,yoplait kids strawberry and blueberry gluten-free low-fat yogurt cup variety pack 8 count,88,2.95,0.628,17.9
oui by yoplait pina colada whole milk french style yogurt,oui by yoplait pina colada french style yogurt,127,3.62,5.43,15.8
go gurt berry and strawberry kids fat free yogurt tube,go-gurt berry and strawberry low fat yogurt tubes 32 count,86.4,3.42,0.144,17.9
yoplait protein strawberry yogurt cultured dairy snack cup,yoplait protein strawberry yogurt,60.2,9.72,1.01,3.07
yoplait protein vanilla yogurt cultured dairy snack cup,yoplait protein vanilla yogurt,60.2,9.72,1.01,3.07
noosa® tart cherry yogurt cup,"cherry juice, tart",59,0.31,0.54,13.7
kroger® carbmaster® pina colada yogurt,pina colada,151,0.36,2.14,19.48
yoplait protein vanilla yogurt cultured dairy snack tub,:ratio protein vanilla dairy snack tub,115,16.7,2.49,5.66
too good & co™ coconut low fat lower sugar gluten free greek yogurt cup,"yogurt, greek, low fat milk, fruit",91,9.11,1.33,10.78
too good & co. remix strawberry dark chocolate flavored low fat yogurt-cultured low fat milk,"yogurt, low fat milk, fruit",93,4.57,1.34,15.69
kroger® carbmaster® dulce de leche yogurt,dulce de leche,315,6.84,7.35,55.35
yoplait protein mixed berry yogurt cultured dairy snack cup,yoplait protein mixed berry yogurt,60.2,9.72,1.01,3.07
yoplait protein peach yogurt cultured dairy snack cup,yoplait protein peach yogurt,60.2,9.72,1.01,3.07
kroger® blueberry lowfat yogurt cup,"kroger, grade a lowfat yogurt, blueberry, blueberry",100,3.53,1.18,18.8
oui by yoplait caramel chocolate chip french style yogurt jar,oui by yoplait caramel chocolate chip french style yogurt,149,3.3,8.19,15.6
ratio trio vanilla yogurt cultured dairy keto friendly snack cup,:ratio keto friendly vanilla and granola dairy snack,176,12,12.8,4.41
oui by yoplait cinnamon & apple whole milk yogurt,oui by yoplait creamy cinnamon and apple whole milk yogurt,140,3.43,7.3,15.1
oui by yoplait pumpkin caramel whole milk french style yogurt jar,oui by yoplait pumpkin french style yogurt,126,3.24,3.99,19.3
ratio trio strawberry yogurt cultured dairy keto friendly snack cup,:ratio keto friendly strawberry and granola dairy snack,183,12.2,13.2,4.43
noosa® key lime yogurt cup,silk key lime soy yogurt,88,2.35,1.18,17.6
silk greek style lemon coconut milk yogurt alternative cup,"greek style lemon coconutmilk yogurt alternative, lemon",127,6.67,7.33,8
haagen dazs strawberry cultured crème yogurt style snack,haagen-dazs strawberry cultured crme,165,3.26,9.18,17.4
haagen dazs vanilla bean cultured crème yogurt style snack,haagen-dazs vanilla bean cultured crme,171,3.41,9.73,17.4
haagen dazs coffee cultured crème yogurt style snack,haagen-dazs coffee cultured crme,177,3.48,9.73,18.8
fage® total plain 0% milkfat nonfat greek yogurt tub,"yogurt, greek, plain, nonfat",256,10.3,0.37,3.64
chobani® plain nonfat greek yogurt tub,"yogurt, greek, nonfat, plain, chobani",226,9.53,0.24,3.43
oikos® triple zero mixed berry nonfat greek yogurt,"yogurt, greek, nonfat, strawberry, dannon oikos",352,8.03,0.22,12.5
chobani® peach on the bottom nonfat greek yogurt cup,"yogurt, greek, nonfat, peach, chobani",80,7.76,0.11,11.9
the greek gods® plain traditional greek style yogurt tub,"plain traditional greek style yogurt, plain traditional",82,4.12,5.29,6.47
chobani® flip® almond coco loco™ chocolate low fat greek yogurt cup,"almond coco loco greek yogurt, almond; coco loco",148,7.03,6.25,16.4
chobani® mango on the bottom low fat greek yogurt cup,"yogurt, greek, 2% fat, mango, chobani",93,7.64,1.69,11.8
chobani® whole milk plain greek yogurt tub,"yogurt, greek, whole, plain, chobani",82,8.24,4.01,3.24
chobani® pineapple on the bottom low fat greek yogurt cup,"yogurt, greek, 2% fat, pineapple, chobani",94,7.05,1.82,12.3
chobani® coconut low fat greek yogurt cup,"yogurt, greek, 2%fat, coconut blend, chobani",385,8.11,1.71,11
oikos® pro mixed berry yogurt-cultured dairy product,"yogurt, greek, strawberry, dannon oikos",443,8.25,2.92,11.7
chobani® monterey strawberry less sugar low fat greek yogurt cup,"monterey strawberry less sugar low-fat greek yogurt, monterey strawberry",80,8,2,6.67
chobani® madagascar vanilla cinnamon less sugar low fat greek yogurt cup,"madagascar vanilla & cinnamon less sugar low-fat greek yogurt, madagascar vanilla & cinnamon",80,8,2,6.67
light + fit remix brownie sundae yogurt cup,"mcdonald's, strawberry sundae",158,3.19,3.95,28.1
kroger® vanilla whole milk greek yogurt cultured dairy blend tub,"yogurt, greek, fruit, whole milk",106,7.33,3,12.3
the greek gods® black cherry with honey greek style yogurt tub,"black cherry flavored greek style yogurt with honey, black cherry with honey",118,4.12,4.71,14.7
too good & co™ good save meyer lemon low fat lower sugar gluten free greek yogurt cup,"too good gourmet, sugar cookies",429,3.57,17.9,52.74000000000001
simple truth organic® vanilla bean whole milk greek yogurt cultured dairy blend tub,organic greek vanilla bean blended whole milk yogurt,107,9.33,2.67,12
plum organics® mighty morning tots spinach kiwi barley greek yogurt pouch,"plum organics mighty 4 blends banana, kiwi, spinach, greek yogurt & barley, 4oz",62,1.77,0.44,12.4
go gurt berry and fruit punch kids fat free yogurt tubes,go-gurt spiderman gluten free berry and fruit punch yogurt tubes 8 count,86.4,3.42,0.144,17.9
go gurt strawberry kids fat free yogurt tubes,go-gurt simply strawberry yogurt tube,80.6,4.09,1.08,13.6
go-gurt strawberry kids low fat yogurt tubes,go-gurt strawberry low fat yogurt tubes 8 count,86.4,3.42,0.144,17.9
yoplait raspberry and strawberry banana kids yogurt cups,"yoplait, kids low fat yogurt, strawberry banana, strawberry banana",82,3.53,1.18,14.1
yoplait go gurt bluey berry and cherry kids fat free yogurt snack tubes,go-gurt berry and cherry low fat yogurt tubes 16 count,86.4,3.42,0.144,17.9
food for life® ezekiel 4:9® flourless sprouted grain frozen bread,flourless sprouted grain bread,235,14.7,1.47,44.1
rudi's frozen bread,"rudi's, gluten-free bakery, original sandwich bread",320,3.13,10.7,52.8
base culture keto frozen bread,"garlic bread, frozen",1014.0000000000008,8.36,16.6,41.7
dave's killer bread® rockin' grains® organic whole grain english muffins,"rockin' grains organic english muffins, rockin' grains",226,9.68,2.42,41.9
kroger® honey wheat bread,"bread, wheat or cracked wheat",274,10.67,4.53,47.54
sara lee artesano hawaiian bread,"sara lee, 100% whole wheat bread",240,12,3,46
thinslim foods bread plain low carb,"plain low carb wraps, plain",186,11.6,9.3,27.9
nature's own perfectly crafted non gmo multigrain bread,"bread, multigrain",265,13.36,4.23,43.34
o'doughs® gluten free frozen bread thins,"bread, gluten free",248,4.31,5.24,45.78
nature's own 100% whole wheat bread,"bread, whole wheat",254,12.3,3.55,43.1
sara lee artesano original bread,artesano the original bakery bread,289,7.89,3.95,52.6
dave's killer bread organic 21 whole grains and seeds bread,"dave's killer bread, 21 whole grains and seeds organic bread",267,11.1,4.44,48.9
dave's killer bread organic good seed whole grain bread,"dave's killer bread, organic good seed bread",311,11.1,6.67,55.6
simple truth organic® frozen bread,"simple truth, organic multi-seed bread",256,11.6,5.81,44.2
wonder classic white bread,"wonder, calcium fortified enriched bread, classic white, classic white",246,7.02,2.63,50.9
food for life® ezekiel 4:9® cinnamon raisin frozen bread,"bread, raisin",270,8.82,3.26,52.21
dave's killer bread organic thin sliced powerseed and whole grain bread,"dave's killer bread, thin-sliced powerseed organic bread",214,10.7,3.57,39.3
o'dough's® sprouted whole grain frozen bread,"waffle, whole grain, frozen",289,6.78,8.39,46.7
nature's own honey wheat bread,"nature's own, specialty honey wheat bread",233,11.6,2.33,46.5
dave's killer bread organic thin sliced good seed whole grain bread,"dave's killer bread, thin-sliced bread, good seed, good seed",250,10.7,7.14,46.4
nature's own butterbread bread,butterbread,250,10.7,3.57,46.4
"dave's killer bread 21 whole grains and seeds thin-sliced organic bread, 20.5 oz","dave's killer bread, organic thin-sliced 21 whole grains and seeds bread",214,10.7,3.57,42.9
sunbeam giant white bread,"bread, white",267,9.43,3.59,49.2
genuine bavarian organic bread flaxseed,"genuine bavarian, glutenfree whole grain bread",196,5.36,2.68,37.5
dave's killer bread organic thin sliced sprouted and whole grain bread,"dave's killer bread, organic sprouted whole grains bread",243,10.8,2.7,40.5
dave's killer bread organic raisin the roof cinnamon raisin bread,"organic bread, raisin' the roof!",265,11.8,4.41,50
food for life® ezekiel 4:9® sprouted grain frozen bread,"food for life, ezekiel 4:9, sprouted waffles, blueberry, blueberry",240,10,4.5,40
pepperidge farm farmhouse hearty white bread,"pepperidge farm farmhouse hearty white bread, 24 oz loaf",265,8.16,2.04,53.1
kroger® classic white bread,"schar, gluten-free, wheat-free, classic white bread",1000,3.81,4.47,46.1
sara lee honey wheat bread,"sara lee, 100% whole wheat with honey bakery bread",263,13.2,2.63,52.6
"dave's killer bread white bread done right, artisan-style organic white bread, 24 oz loaf","dave's killer bread, white bread",275,7.5,5,52.5
brazi bites® cheddar & parmesan brazilian frozen bread,"cheddar & parmesan brazilian cheese bread, cheddar & parmesan",277,6.38,12.8,31.9
delicious seeded bread 4 loaves,"deliciously seeded bread, deliciously seeded",250,17.9,12.5,28.6
sara lee butter bread,"sara lee, butter pound cake",342,5.26,11.8,55.3
sara lee delightful multi-grain bread,"bread, multi-grain (includes whole-grain)",265,13.4,4.23,43.3
kroger® soft wheat bread,"wheat, soft white",1014.0000000000008,10.7,1.99,52.74000000000001
bimbo white bread,"bimbo, small soft white bread",260,8,2,50
16 oz millet & chia gluten free bread 4 pack,"gluten free millet & chia bread, millet & chia",250,3.57,7.14,53.6
16 oz whole grain bread 3 flavor variety bundle,"bread, whole grain white",238,10.66,2.15,43.91
mestemacher bread protein bread,"bread, high protein, toasted",269,13.3,2.42,48.13
king's hawaiian® original sweet dinner rolls,"rolls, dinner, sweet",1014.0000000000008,10,7.37,53.6
nature's own perfectly crafted non gmo white bread,"craft white bread, craft white",273,9.09,4.55,51.5
"pepperidge farm farmhouse butter bread, 22 oz loaf","pepperidge farm farmhouse butter bread, 22 oz loaf",267,8.89,2.22,53.3
nature's own sweet hawaiian bread,"sweet hawaiian bread, sweet hawaiian",298,8.77,6.14,50.9
sara lee sandwich white bread,egg sandwich on white bread,228,10.46,9.05,26.1
pepperidge farm farmhouse honey white bread,"pepperidge farm farmhouse honey white bread, 22 oz loaf",289,11.1,2.22,53.3
oroweat superior keto bread,"keto superior bread, keto",214,14.3,7.14,39.3
simple truth™ gluten free white frozen bread,"simple truth, gluten free animal crackers",400,6.67,13.3,52.74000000000001
"pepperidge farm farmhouse sweet hawaiian bread, 22 oz loaf","pepperidge farm farmhouse sweet hawaiian bread, 22 oz loaf",289,13.3,3.33,48.9
pepperidge farm very thin white bread,"pepperidge farm very thin white bread, 16 oz.",267,8.89,4.44,51.1
"nature's own homestyle white, small loaf size, sliced homestyle white bread, 12 oz loaf","homestyle white bread mini loaf, homestyle white",311,8.89,4.44,55.6
genuine bavarian organic pumpernickel bread - case of 6 - 17.6 oz.,"bread, pumpernickel",1014.0000000000008,8.7,3.1,47.5
delicious classic white bread 4 loaves,white bread loaves,240,6,3,48
"nature's own ancient grain, small loaf size, sliced bread, 12 oz loaf","ancient grain artisan bread loaf, ancient grain",246,8.77,1.75,50.9
bakehouse bread company pineapple coconut bread,"bread, fruit",374,6.01,18.1,47.34
bakehouse zucchini bread,"bread, zucchini",306,5.05,13.14,42.64
bakehouse bread company banana bread,"bread, banana, prepared from recipe, made with margarine",1014.0000000000008,4.3,10.5,54.6
smart way wheat bread,"bread, wheat",1014.0000000000008,10.7,4.53,47.5
oroweat oatnut whole grain bread,"oatnut whole grains bread, oatnut",279,9.3,5.81,48.8
pepperidge farm whole grain 15 grain bread,"pepperidge farm whole grain 15 grain bread, 24 oz loaf",279,11.6,5.81,46.5
canyon bakehouse gluten free ancient grain 100% whole grain bread,"ancient grain 100% whole grain bread, ancient grain",250,7.14,5.36,46.4
pepperidge farm whole grain 100% whole wheat bread,"pepperidge farm whole grain 100% whole wheat bread, 24 oz loaf",279,11.6,3.49,48.8
bimbo pan tostado doble fibra double fiber toasted bread,"bimbo, pan doble fribra, double fiber bread",266,9.38,3.12,51.6
pepperidge farm whole grain honey wheat bread,"pepperidge farm whole grain honey wheat bread, 24 oz loaf",279,11.6,4.65,48.8
pepperidge farm whole grain thin sliced 15 grain bread,"pepperidge farm whole grain thin sliced 15 grain bread, 14 oz loaf",280,12,6,46
oroweat small slice oatnut bread,"oatnut small slice bread, oatnut",286,10.7,5.36,50
udi's gluten free frozen delicious whole grain sandwich bread,"udi's, gluten free, soft & delicious white sandwich bread",1014.0000000000008,5.4,8.02,51.2
genuine bavarian breads rye multigrain,"bread, rye",259,8.5,3.3,48.3
private selection® wide pan multigrain bread,"private selection, sourdough wide pan bread",263,7.89,2.63,50
schar gluten free artisan baker 10 grains and seeds bread,"10 grains & seeds artisan baker bread, 10 grains & seeds",258,4.84,4.03,51.6
simple kneads quinoa power grains bread,"kneaded grains artisan ciabatta, kneaded grains",263,8.77,3.51,50.9
food for life® ezekiel 4:9® frozen english muffins,"fast foods, english muffin, with cheese and sausage",338,13.3,20.7,25.3
o'dough's® gluten free frozen bagel thins,"pizza, cheese, gluten-free thin crust",264,8.73,13.62,26.53
o'doughs® everything frozen bagel thins,"everything bagel cashew, everything bagel",536,14.3,32.1,28.6
food for life® cinnamon raisin frozen english muffins,"muffins, english, raisin-cinnamon (includes apple-cinnamon)",240,7.91,1.8,48.1
california goldminer® sourdough square bread,"california sourdough square bread, sourdough",233,6.98,1.16,46.5
bakery fresh crisp & soft french bread,"bread, french or vienna",272,10.75,2.42,51.88
the rustik oven artisan style sourdough bread,"sourdough round artisan style bread, sourdough",265,10.2,2.04,49
"pepperidge farm farmhouse sourdough bread, 24 oz loaf","pepperidge farm farmhouse sourdough bread, 24 oz loaf",265,8.16,3.06,51
italian bread,italian bread,226,9.43,1.89,43.4
pepperidge farm raisin cinnamon swirl breakfast bread,"pepperidge farm raisin cinnamon swirl breakfast bread, 16 oz loaf",303,6.06,4.55,60.6
bakery fresh goodness garlic bread,"bakery fresh goodness, multigrain bread",280,12,4,52
the cheesecake factory at home™ brown bread wheat dinner rolls,"rolls, dinner, wheat",1014.0000000000008,8.6,6.3,46
kroger® mozzarella twisted frozen bread,"kroger, mozzarella twisted bread sticks",292,13.8,10.8,35.4
pepperidge farm texas toast frozen garlic bread 8 slices,"pepperidge farm texas toast frozen garlic bread, 8 slices, 11.25 oz. box",375,7.5,20,37.5
backerhaus veit signature tuscan white sliced bread loaf,"mild tuscan loaf bread, tuscan",263,7.02,0.88,54.4
thomas' cinnamon swirl bread,"bread, cinnamon",253,7.05,5.29,44.4
nature's own perfectly crafted non-gmo brioche style bread,brioche,427,8.96,27.46,36.31
kroger® parmesan garlic frozen bread,"garlic bread, with parmesan cheese, from frozen",351,8.78,16.83,41.14
oroweat country potato bread,"bread, potato",1014.0000000000008,12.5,3.13,47.1
pepperidge farm swirl cinnamon breakfast bread,"pepperidge farm swirl cinnamon breakfast bread, 16 oz. loaf",303,9.09,4.55,60.6
sun-maid cinnamon raisin bread,"sun-maid, raisin bread, cinnamon swirl, cinnamon swirl",312,9.38,4.69,56.2
the cheesecake factory at home™ brown bread wheat sandwich loaf,"brown bread wheat sandwich loaf, brown bread",276,10.3,3.45,51.7
pepperidge farm jewish rye & pumpernickel deli swirl bread,"jewish rye & pumpernickel deli swirl bread, jewish rye & pumpernickel",250,9.38,3.12,43.8
pepperidge farm jewish rye seeded bread,"jewish rye seeded bread, jewish rye seeded",250,9.38,3.12,50
pepperidge farm jewish rye seedless bread,"pepperidge farm jewish rye seedless bread, 16 oz. bag",250,9.38,3.12,46.9
the cheesecake factory at home™ brown bread wheat mini baguettes,"our famous ""brown bread"" wheat mini baguettes, our famous ""brown bread""",282,8.45,2.82,53.5
pepperidge farm texas toast frozen 5 cheese bread 6 slices,"pepperidge farm texas toast frozen 5 cheese bread, 6 slices, 9.5 oz. box",333,11.1,17.8,33.3
oroweat jewish rye bread,"jewish rye bread, jewish rye",281,9.38,4.69,53.1
pepperidge farm jewish pumpernickel dark pump bread,"pepperidge farm jewish pumpernickel dark pump bread, 16 oz. loaf",250,9.38,3.12,46.9
just bake it french batard white bread,french batard,228,7.02,1.75,45.6
pepperidge farm farmhouse homestyle oat bread,"pepperidge farm farmhouse homestyle oat bread, 24 oz loaf",265,8.16,4.08,51
pepperidge farm brown sugar cinnamon swirl breakfast bread,"pepperidge farm brown sugar cinnamon swirl breakfast bread, 16 oz loaf",289,10.5,5.26,55.3
bakery fresh goodness garlic bread half loaf,"bakery fresh goodness, pumpkin loaf cake",378,6.67,15.6,51.1
"pepperidge farm farmhouse brioche bread, 22 oz loaf","pepperidge farm farmhouse brioche bread, 22 oz loaf",289,13.3,4.44,48.9
la brea whole grain sliced bread,"whole grain la brea sliced loaf, whole grain",281,10.5,0.88,59.6
private selection® rustic ciabatta loaf artisan bread,"artisan ciabatta loaf bread, artisan ciabatta loaf",281,8.77,4.39,50.9
la brea bakery® sliced toasted sunflower honey bread,"toasted sunflower la brea sliced loaf, toasted sunflower",298,10.5,7.89,50.9
la brea bakery sliced french bread,"la brea bakery, sliced multigrain artisan sandwich bread",265,4.08,8.16,49
s. rosen's® party cocktail rye bread,"s. rosen's, rye bread",250,7.14,3.57,46.4
st pierre cinnamon brioche twist hand braided bread,"hand braided cinnamon brioche twist, cinnamon",300,6,9,44
bakery fresh goodness crusty white french bread,"bakery fresh goodness, white bread",280,8,4,56
d'italiano italian bread,"bread, italian",1014.0000000000008,9.49,2.73,48.1
kroger® cheesy garlic pull apart bread,"cheesy garlic pull-apart rolls, cheesy garlic",324,8.82,16.2,36.8
king's hawaiian round sweet bread,"round hawaiian sweet bread, hawaiian sweet",298,8.77,7.02,52.6
la brea bakery white sourdough bread,"la brea bakery, sliced white artisan sandwich bread",265,2.04,6.12,53.1
private selection® cranberry walnut loaf artisan bread,"private selection, multi multigrain loaf bread",246,8.77,3.51,43.9
wholesome harvest® blueberry & oat sliced bread,wholesome harvest bread,404,12.3,7.89,52.74000000000001
italian bread everything topped,"everything italian bread, everything italian",232,8.93,2.68,44.6
la brea bakery whole grain bread half loaf,"la brea bakery, garlic loaf",263,8.77,0.88,52.6
wholesome harvest whole wheat sliced sandwich bread,"wholesome harvest, stone ground whole wheat bread",228,10.5,3.51,40.4
pillsbury apple cinnamon bread batter,pillsbury apple cinnamon bread batter,362,3.18,14.5,54.6
bakery fresh sliced pumpernickel rye bread,"bread, marble rye and pumpernickel",259,8.5,3.3,48.3
bakery fresh everything french bread,everything french bread,226,9.43,1.89,45.3
mestemacher bread - 17.6 oz - case of 12,"lior buckwheat, 17.6 oz",92,2.98,0.6,19.6
the essential baking company - take & bake italian bread - case of 16 - 16 oz.,"the essential baking company, organic olive bread",200,6,2,40
mestemacher 17.6 oz organic three grain bread set of 3,"mestemacher, organic flax seed + chia bread",200,4.29,3.57,30
simple kneads bread sourdough,"bread, french or vienna (includes sourdough)",1014.0000000000008,10.8,2.42,51.9
larabar 1.6 oz banana bread,larabar banana bread fruit & nut bar,451,10.2,21.6,54
"king's hawaiian original hawaiian bread, 16 ounce (pack of 12)","hawaiian bread, hawaiian",275,10,5,45
mestemacher rustic sunflower seed bread,"sunflower seeds, flavored",567,18.45,32.1,25.92
essential baking company - take & bake sourdough bread 16 oz,take & bake sourdough loaf,232,7.14,0.89,46.4
picos bread sticks picos camperos by mas aliu 6.35 oz pack of 3,picos camperos mini olive oil breadsticks,433,13.3,10,52.74000000000001
the essential baking company - bread take & bake french - case of 16 - 16 oz,"french organic take & bake bread, french",250,7.14,0.89,51.8
mestemacher rustic three grain bread,"three grain bread, three grain",176,7.35,2.94,35.3
korn's pumpernickle rye bread,"pumpernickle & rye roll, pumpernickle & rye",306,8.33,5.56,52.8
b&m brown bread original,"bread, boston brown",274,10.67,4.53,47.54
bauducco 5.01 oz original toasted bread,"bauducco, original toast, original, original",389,11.1,9.26,52.74000000000001
"hero seeded bread low carb & keto friendly bread loaf 15 slices loaf, 2 loaves","seeded keto loaf, seeded",179,28.6,3.57,46.4
the essential baking company - bake at home rosemary bread - case of 16 - 16 oz,"the essential baking company, organic sliced rosemary",236,7.27,4.55,41.8
broadman church supplies communion bread,favorites emergency food supply,362,15.9,5.8,52.74000000000001
thomas' original english muffins,"george weston bakeries, thomas english muffins",972,8,1.8,46
entenmann's little bites chocolate chip mini muffins,"muffin, chocolate chip",402,5.77,19.04,55.4
edward & sons baked whole grain brown rice snaps® onion garlic - 3.5 oz (100 g),"edward & sons, baked brown rice snaps, onion garlic, onion garlic",333,6.67,6.67,52.74000000000001
5 oz delicious whole wheat toast,"bread, whole wheat, toasted",279,13.52,3.9,47.36
dave's killer bread epic everything organic bagels,epic everything organic bagels,274,13.7,5.26,46.3
dave's killer bread® plain awesome® bagels organic bagels,plain awesome organic bagels,274,11.6,3.16,50.5
dave's killer bread cinnamon raisin remix bagels organic bagels,"organic bagels, cinnamon raisin remix",263,11.6,2.63,51.6
"dave’s killer bread® boomin’ berry® bagels, cranberry, blueberry, blackberry and acai bagels","organic bagels, boomin' berry",274,11.6,2.63,50.5
dave's killer bread killer classic english muffins organic english muffins,"killer classic organic english muffins, killer classic",226,9.68,1.61,43.6
dave's killer bread® burgers done right™ organic white bread hamburger buns,"organic white bread done right, white",286,10.7,5.36,53.6
schar gluten free sandwich roll,"schar, gluten-free, classic white rolls",239,3.34,2.65,50.5
greens cinnamon babka - pack of 3,"babka, cinnamon",354,3.03,13.1,56.6
oroweat 100% whole wheat sandwich thins,"100% whole wheat sandwich thins rolls, 100% whole wheat",233,11.6,2.33,51.2
private selection® ciabatta baguette artisan bread,"ciabatta artisan bread, ciabatta",246,8.77,0.88,47.4
joseph's™ original pita bread 1 pack of 4,"bread, pita",275,9.1,1.2,55.7
private selection® french demi baguette artisan bread,"french demi artisan baguette, french demi",263,8.77,0.88,52.6
joseph's™ flax oat whole wheat pita bread,"bread, pita, whole wheat",262,9.8,1.71,55.89
